Time,Error
10.873431,5.0
10.894402,5.0
10.91433,5.0
10.933952,5.0
10.95326,5.0
10.97369,5.0
10.993317,5.0
11.014486,5.0
11.034232,5.0
11.053359,5.0
11.073777,5.0
11.093312,5.0
11.114255,5.0
11.133949,5.0
11.153182,5.0
11.173362,5.0
11.194361,5.0
11.214327,5.0
11.23369,5.0
11.253104,5.0
11.274035,5.0
11.293952,5.0
11.31393,5.0
11.3337,5.0
11.353607,5.0
11.374493,5.0
11.393723,5.0
11.413372,5.0
11.434545,5.0
11.453568,5.0
11.473761,5.0
11.493484,5.0
11.514333,5.0
11.534275,5.0
11.55346,5.0
11.574402,5.0
11.594453,5.0
11.614343,5.0
11.634072,5.0
11.653239,5.0
11.674156,5.0
11.69414,5.0
11.713902,5.0
11.733572,5.0
11.753753,5.0
11.773652,5.0
11.79365,5.0
11.814588,5.0
11.834492,5.0
11.853727,5.0
11.873738,5.0
11.90515,5.0
11.913391,5.0
11.934446,5.0
11.95459,5.0
11.973392,5.0
11.994011,5.0
12.014214,5.0
12.03387,5.0
12.053845,5.0
12.073028,5.0
12.093305,5.0
12.114271,5.0
12.133928,5.0
12.153107,5.0
12.174048,5.0
12.194062,5.0
12.213974,5.0
12.233616,5.0
12.253584,5.0
12.273789,5.0
12.293159,5.0
12.313167,5.0
12.333857,5.0
12.353204,5.0
12.37404,5.0
12.39437,5.0
12.414151,5.0
12.434053,5.0
12.453308,5.0
12.473983,5.0
12.49319,5.0
12.513874,5.0
12.533166,5.0
12.555108,5.0
12.573707,5.0
12.593869,5.0
12.61384,5.0
12.633472,5.0
12.653748,5.0
12.673609,5.0
12.693429,5.0
12.713701,5.0
12.733382,5.0
12.753544,5.0
12.773299,5.0
12.794195,5.0
12.814229,5.0
12.83416,5.0
12.853335,5.0
12.874027,5.0
12.893384,5.0
12.914336,5.0
12.934556,5.0
12.953486,5.0
12.974458,5.0
12.994391,5.0
13.014099,5.0
13.034259,5.0
13.054245,5.0
13.074077,5.0
13.0932,5.0
13.121883,5.0
13.134735,5.0
13.153608,5.0
13.172975,5.0
13.1934,5.0
13.214387,5.0
13.234378,5.0
13.254289,5.0
13.274287,5.0
13.294192,5.0
13.31416,5.0
13.334009,5.0
13.353028,5.0
13.373959,5.0
13.393339,5.0
13.414097,5.0
13.434265,5.0
13.454235,5.0
13.474164,5.0
13.494053,5.0
13.514051,5.0
13.534015,5.0
13.55391,5.0
13.573893,5.0
13.593886,5.0
13.613925,5.0
13.633566,5.0
13.653837,5.0
13.673424,5.0
13.693667,5.0
13.713638,5.0
13.733261,5.0
13.753523,5.0
13.774436,5.0
13.794415,5.0
13.8143,5.0
13.833994,5.0
13.85322,5.0
13.874225,5.0
13.893545,5.0
13.914493,5.0
13.933137,5.0
13.953398,5.0
13.974353,5.0
13.994274,5.0
14.013892,5.0
14.034134,5.0
14.054222,5.0
14.073889,5.0
14.093894,5.0
14.113953,5.0
14.133644,5.0
14.154641,5.0
14.173584,5.0
14.193713,5.0
14.213681,5.0
14.233431,5.0
14.253586,5.0
14.273562,5.0
14.293885,5.0
14.313812,5.0
14.333709,5.0
14.353679,5.0
14.373673,5.0
14.394784,5.0
14.413742,5.0
14.475751,5.0
14.546121,5.0
14.546334,5.0
14.546479,5.0
14.546574,5.0
14.546682,5.0
14.553631,5.0
14.57355,5.0
14.59427,5.0
14.614175,5.0
14.634097,5.0
14.654065,5.0
14.673726,5.0
14.69304,5.0
14.713911,5.0
14.733721,5.0
14.753693,5.0
14.774752,5.0
14.793067,5.0
14.813207,5.0
14.834003,5.0
14.854162,5.0
14.873629,5.0
14.893672,5.0
14.91364,5.0
14.933612,5.0
14.953532,5.0
14.974521,5.0
14.993516,5.0
15.013422,5.0
15.034092,5.0
15.05324,5.0
15.074224,5.0
15.093939,5.0
15.113131,5.0
15.133858,5.0
15.153006,5.0
15.17327,5.0
15.194911,5.0
15.213658,5.0
15.233575,5.0
15.253528,5.0
15.273707,5.0
15.293618,5.0
15.313642,5.0
15.333569,5.0
15.353497,5.0
15.374488,5.0
15.393823,5.0
15.413782,5.0
15.433393,5.0
15.453573,5.0
15.473568,5.0
15.493499,5.0
15.513474,5.0
15.534414,5.0
15.554121,5.0
15.574016,5.0
15.593273,5.0
15.61423,5.0
15.634157,5.0
15.654186,5.0
15.673838,5.0
15.694083,5.0
15.71403,5.0
15.734046,5.0
15.75394,5.0
15.773863,5.0
15.793143,5.0
15.814026,5.0
15.833805,5.0
15.854195,5.0
15.873931,5.0
15.894032,5.0
15.91399,5.0
15.933054,5.0
15.953841,5.0
15.973907,5.0
15.994006,5.0
16.013924,5.0
16.033658,5.0
16.054605,5.0
16.074768,5.0
16.093768,5.0
16.113632,5.0
16.133705,5.0
16.153427,5.0
16.1744,5.0
16.194078,5.0
16.213925,5.0
16.234108,5.0
16.253594,5.0
16.273051,5.0
16.293371,5.0
16.314394,5.0
16.333993,5.0
16.353964,5.0
16.373084,5.0
16.393656,5.0
16.413551,5.0
16.433404,5.0
16.453468,5.0
16.474313,5.0
16.494323,5.0
16.514196,5.0
16.534169,5.0
16.554232,5.0
16.574081,5.0
16.5942,5.0
16.614138,5.0
16.634104,5.0
16.653988,5.0
16.673654,5.0
16.693092,5.0
16.713943,5.0
16.733942,5.0
16.753871,5.0
16.773861,5.0
16.792981,5.0
16.813336,5.0
16.834173,5.0
16.854075,5.0
16.874006,5.0
16.893997,5.0
16.913962,5.0
16.933574,5.0
16.953828,5.0
16.973781,5.0
16.993782,5.0
17.013835,5.0
17.033509,5.0
17.05447,5.0
17.073662,5.0
17.093583,5.0
17.114315,5.0
17.134509,5.0
17.154201,5.0
17.173434,5.0
17.194131,5.0
17.214067,5.0
17.233958,5.0
17.253179,5.0
17.273855,5.0
17.293036,5.0
17.314206,5.0
17.334204,5.0
17.354024,5.0
17.373056,5.0
17.393867,5.0
17.413057,5.0
17.433738,5.0
17.45292,5.0
17.473889,5.0
17.494082,5.0
17.514124,5.0
17.533999,5.0
17.553892,5.0
17.573809,5.0
17.593109,5.0
17.614024,5.0
17.633682,5.0
17.653931,5.0
17.673827,5.0
17.693556,5.0
17.713715,5.0
17.733645,5.0
17.753579,5.0
17.7746,5.0
17.793182,5.0
17.813154,5.0
17.834418,5.0
17.854062,5.0
17.87324,5.0
17.893572,5.0
17.914485,5.0
17.933175,5.0
17.953431,5.0
17.974388,5.0
17.994369,5.0
18.014305,5.0
18.034192,5.0
18.053826,5.0
18.073096,5.0
18.093806,5.0
18.11373,5.0
18.133706,5.0
18.153659,5.0
18.173593,5.0
18.193518,5.0
18.214427,5.0
18.233474,5.0
18.253379,5.0
18.274059,5.0
